Height,Weight
167.0812,51.25136008
181.6608,61.91077208
176.276,69.41318376
173.2788,64.56428528
172.1866,65.4533256
174.498,55.9278936
177.292,64.17873208
177.8254,61.89716432
172.466,50.97013304
169.6212,54.73494664
168.8846,57.8103004
171.7548,51.77299088
173.482,56.97569112
170.4848,55.54687632
173.4312,52.65749528
180.5686,63.50288
168.8084,58.740164
174.371,64.85004824
180.9242,62.5503368
170.5102,56.26355168
172.2882,64.08347776
174.9552,65.10859568
161.2392,44.4066568
173.7868,58.740164
171.7802,64.3420252
170.7134,58.83995424
179.9336,64.60057264
171.4246,59.6700276
168.9862,49.13762136
166.2176,51.65959288
176.5808,46.8560536
167.1574,54.771234
172.2628,57.05733768
179.324,61.78830224
182.372,63.5482392
175.7934,58.39997
169.672,64.3193456
171.8564,54.98895816
172.2374,59.5793092
162.687,48.40280232
174.1678,56.40870112
165.5572,56.63549712
176.9364,63.35319464
172.6438,62.30993304
167.5892,48.2848684
174.4218,58.40450592
169.8752,66.07928256
171.958,52.98861744
177.3428,65.14488304
175.4886,61.20316856
177.5714,66.68709584
171.0182,57.30227736
178.4858,56.91672416
175.514,52.48513032
166.0652,56.01407608
178.2572,67.08172088
178.8414,70.7149928
169.0116,58.09152744
168.5544,54.14527704
171.5516,60.69514552
168.91,58.39089816
175.26,62.3915796
173.482,58.85809792
170.2054,58.43172144
179.8574,61.38006944
173.2788,49.71821912
175.4124,64.62325224
172.0342,60.214338
170.7388,73.96037976
171.1198,56.57653016
165.7858,58.65398152
179.9336,60.79039984
177.5968,63.6843168
163.2966,46.64740128
173.355,58.29564384
168.5544,54.5671176
173.6344,62.8678512
166.3192,60.30959232
177.0888,52.44430704
172.0342,55.57409184
174.3456,61.06709096
169.6212,55.2928648
177.927,70.47912496
168.3512,58.48615248
175.768,58.5587272
